start,end,screencap,film scene / beat description,truth level,truth int,fiction type ,film (condensed),in reality (condensed notes),in reality (long notes),source name,source link,source link,source link
01:47:50,01:48:04,01:47:54,The police break up the party. ,TRUE,3,,The police arrive.,The police broke up the party. ,"The police broke up the party - Parker thought it was a set up, given it was a pretty standard frat-type party near campus. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p242-246.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:48:04,01:48:39,01:48:23,"PARKER enthused about the idea of living on the internet. The others snort lines. Music goes off, PARKER goes to check it out & sees police. ",TRUE,3,,Parker enthused. People around him take coke.,Parker had ideas about life itself moving online.,Parker had ideas about life itself moving online.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p244.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:48:39,01:49:43,01:48:51,"PARKER races back to the room, brushes the coke from the girl's stomach. Police enter, find the underage students, see the coke on PARKER's hand. ",TRUE,3,,Parker tries to get rid of the drug evidence.,Parker was arrested in 2005. ,"Parker didn't do any drugs himself because of his asthma & allergies, but was busted there by the police, wrong place, wrong time. Parker was arrested for cocaine possession in 2005. He was never charged, but resigned from Facebook under pressure from the board. ",Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p242-246.",
01:49:43,01:49:49,01:49:45,"ZUCKERBERG sitting in the Facebook offices, looks stressed. He clearly hasn't been partying with the others. ",FALSE,0,character development,Zucker looks stressed.,This wasn't in the book.,The book didn't give the sense that Zuckerberg was stressed or upset by the way things worked out. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:49:49,01:51:01,01:50:03,"PARKER calls ZUCKERBERG from the police station. PARKER is panicking, ZUCKERBERG concerned.",TRUE-ISH,2,,Parker calls Zuck from the police station.,Zuckerberg realised Parker had to leave Facebook at this point. ,"We don't know who was on the other end of the phone call Zuckerberg receieved about Parker, but he was not happy about the situation & realised Parker had to go for the sake of the company. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p247.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:51:01,01:51:17,01:51:07,"ZUCKERBERG picks up a business card - the contents of the package from earlier. Turns it in his fingers. It says 'I'm CEO... bitch.' Looks resigned, low. ",TRUE,3,,"Zuck's business card says ""I'm the CEO, bitch...""","Zuckerberg had two sets of business cards, one read 'CEO' & the other, 'I'm CEO... bitch'.","Zuckerberg had two sets of business cards, one read 'CEO' & the other, 'I'm CEO... bitch'.",Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,,
01:51:17,01:53:44,01:51:21,"Deposition room 1 - procedings are finished for the day. MARILYN talks ZUCKERBERG through the next stages, advises him to take a settlement. ",TRUE,3,,Zuck is advised to take a settlement.,The case ended in a settlement.,"Although the Marylin character didn't appear in the book, the case was resolved in a settlement, so it's reasonable to assume Zuckerberg got this advice from his lawyers at some stage. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p253.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:53:44,01:54:36,01:53:49,"ZUCKERBERG alone in deposition room 1. He goes on Facebook, finds ERICA. Sends her a friend request, waits, refreshes, waits, refreshes, waits... Settles into his chair for a long night... ",FALSE-ISH,1,character development ,Zuckerberg friends his ex-GF Erica on Facebook.,Zuckerberg became the world's youngest billionaire in 2010.,Zuckerberg wasn't pining over an ex at this point - he had the same girlfriend throughout. Chris Hughes has said it was never about girls or power for Zuckerberg. ,Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,http://www.forbes.com/2010/03/09/youngest-billionaires-mark-zuckerberg-sergey-brin-billionaires-2010-page_slide.html,http://fortune.com/2010/08/20/the-case-for-a-50-billion-facebook/
01:54:36,01:56:35,01:55:00,"Titles appear with summary of case outcomes: WINKLEVOSS' got $65m, SAVERIN got an unknown settlement & his name restored to the Facebook masthead, Facebook has 500m members in 207 countries, is valued at $25b. ZUCKERBERG is youngest billionaire in the world (2010).",TRUE,3,character development ,Zuckerberg becomes the youngest billionaire in the world.,Zuckerberg became the world's youngest billionaire in 2010.,"Settlement details are correct. Winklevoss twins were paid in cash & assets - later found the assets had been undervalued, but the case wasn't reopened. Zuckerberg was the youngest billionaire in 2010, & Facebook did have over 500m members at that point. ",Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,http://www.forbes.com/2010/03/09/youngest-billionaires-mark-zuckerberg-sergey-brin-billionaires-2010-page_slide.html,http://fortune.com/2010/08/20/the-case-for-a-50-billion-facebook/
01:56:35,02:00:27,01:56:36,Credits. ,-,,-,,-,-,,-,,
